date,variable,value
2008-12-31,mkt_rf,1.77
2008-12-31,neutral_pct,27.19
2008-12-31,rf,0.0
2008-12-31,rmw,0.03
2008-12-31,sentiment_michigan_ics,60.1
2008-12-31,smb,3.52
2009-01-31,bearish_pct,47.25
2009-01-31,bull_bear_spread,-21.98
2009-01-31,bullish_pct,25.27
2009-01-31,cma,-1.16
2009-01-31,hml,-11.02
2009-01-31,mkt_ret,-8.09
2009-01-31,mkt_rf,-8.09
2009-01-31,neutral_pct,27.47
2009-01-31,rf,0.0
2009-01-31,rmw,0.0
2009-01-31,sentiment_michigan_ics,61.2
2009-01-31,smb,0.04
2009-02-28,bearish_pct,55.14
2009-02-28,bull_bear_spread,-30.84
2009-02-28,bullish_pct,24.3
2009-02-28,cma,-0.62
2009-02-28,hml,-6.6
2009-02-28,mkt_ret,-10.13
2009-02-28,mkt_rf,-10.14
2009-02-28,neutral_pct,20.56
2009-02-28,rf,0.01
2009-02-28,rmw,1.01
2009-02-28,sentiment_michigan_ics,56.3
2009-02-28,smb,0.14
2009-03-31,bearish_pct,42.39
2009-03-31,bull_bear_spread,-3.260000000000005
2009-03-31,bullish_pct,39.13
2009-03-31,cma,-2.0
2009-03-31,hml,3.48
2009-03-31,mkt_ret,9.03
2009-03-31,mkt_rf,9.01
2009-03-31,neutral_pct,18.48
2009-03-31,rf,0.02
2009-03-31,rmw,-2.58
2009-03-31,sentiment_michigan_ics,57.3
2009-03-31,smb,-0.1
2009-04-30,bearish_pct,43.61
2009-04-30,bull_bear_spread,-7.519999999999996
2009-04-30,bullish_pct,36.09
2009-04-30,cma,0.5
2009-04-30,hml,5.38
2009-04-30,mkt_ret,10.18
2009-04-30,mkt_rf,10.17
2009-04-30,neutral_pct,20.3
2009-04-30,rf,0.01
2009-04-30,rmw,1.34
2009-04-30,sentiment_michigan_ics,65.1
2009-04-30,smb,5.4
2009-05-31,bearish_pct,48.620000000000005
2009-05-31,bull_bear_spread,-8.250000000000007
2009-05-31,bullish_pct,40.37
2009-05-31,cma,-1.99
2009-05-31,hml,0.41
2009-05-31,mkt_ret,5.21
2009-05-31,mkt_rf,5.21
2009-05-31,neutral_pct,11.01
2009-05-31,rf,0.0
2009-05-31,rmw,-0.81
2009-05-31,sentiment_michigan_ics,68.7
2009-05-31,smb,-2.41
2009-06-30,bearish_pct,48.8
2009-06-30,bull_bear_spread,-20.8
2009-06-30,bullish_pct,28.000000000000004
2009-06-30,cma,-0.37
2009-06-30,hml,-2.76
2009-06-30,mkt_ret,0.43
2009-06-30,mkt_rf,0.42
2009-06-30,neutral_pct,23.200000000000003
2009-06-30,rf,0.01
2009-06-30,rmw,-1.41
2009-06-30,sentiment_michigan_ics,70.8
2009-06-30,smb,2.58
2009-07-31,bearish_pct,31.4
