mkt_rf,smb,hml,rf,date,mkt_ret,rmw,cma
6.63,-2.26,-0.53,0.0,2021-10-31,6.63,1.71,-1.54
-1.58,-1.31,-0.37,0.0,2021-11-30,-1.58,7.19,1.7
3.23,-1.63,3.25,0.01,2021-12-31,3.2399999999999998,4.88,4.29
-6.16,-5.93,12.86,0.0,2022-01-31,-6.16,0.77,7.73
-2.28,2.16,3.06,0.0,2022-02-28,-2.28,-2.03,3.03
3.08,-1.55,-1.9,0.0,2022-03-31,3.08,-1.5,3.21
-9.41,-1.35,6.18,0.0,2022-04-30,-9.41,3.41,5.92
-0.34,-1.84,8.44,0.03,2022-05-31,-0.31000000000000005,1.55,3.95
-8.4,2.07,-6.0,0.06,2022-06-30,-8.34,1.76,-4.58
9.57,2.84,-4.15,0.08,2022-07-31,9.65,0.77,-6.85
-3.77,1.41,0.18,0.19,2022-08-31,-3.58,-4.78,1.32
-9.34,-0.76,0.03,0.19,2022-09-30,-9.15,-1.37,-0.77
7.85,0.01,7.97,0.23,2022-10-31,8.08,3.27,6.43
4.65,-3.57,1.48,0.29,2022-11-30,4.94,6.3,3.15
-6.38,-0.76,1.34,0.33,2022-12-31,-6.05,0.32,4.28
6.61,5.01,-3.94,0.35,2023-01-31,6.96,-2.42,-4.43
-2.57,1.05,-0.8,0.34,2023-02-28,-2.23,0.97,-1.51
2.48,-5.48,-9.05,0.36,2023-03-31,2.84,2.27,-2.1
0.62,-3.37,-0.12,0.35,2023-04-30,0.97,2.42,2.85
0.34,1.6,-7.79,0.36,2023-05-31,0.7,-1.78,-7.08
6.46,1.49,-0.13,0.4,2023-06-30,6.86,2.32,-1.54
3.21,2.05,4.06,0.45,2023-07-31,3.66,-0.59,0.66
-2.36,-3.14,-1.15,0.45,2023-08-31,-1.91,3.35,-2.41
-5.23,-2.51,1.49,0.43,2023-09-30,-4.800000000000001,1.87,-0.77
-3.15,-3.86,0.2,0.47,2023-10-31,-2.6799999999999997,2.41,-0.69
8.88,-0.1,1.67,0.44,2023-11-30,9.32,-3.73,-1.08
4.85,6.3,4.89,0.43,2023-12-31,5.279999999999999,-2.97,1.29
0.73,-5.07,-2.38,0.47,2024-01-31,1.2,0.67,-0.97
5.07,-0.24,-3.43,0.42,2024-02-29,5.49,-2.06,-2.17
2.84,-2.5,4.16,0.43,2024-03-31,3.27,1.33,1.14
-4.65,-2.37,-0.45,0.47,2024-04-30,-4.180000000000001,1.14,-0.31
4.33,0.55,-1.31,0.44,2024-05-31,4.7700000000000005,3.17,-2.85
2.8,-3.0,-3.36,0.41,2024-06-30,3.21,0.56,-1.8
1.22,6.81,5.62,0.45,2024-07-31,1.67,0.26,0.28
1.6,-3.49,-1.1,0.48,2024-08-31,2.08,0.76,0.82
1.72,-0.13,-2.77,0.4,2024-09-30,2.12,0.2,-0.29
-1.0,-0.99,0.86,0.39,2024-10-31,-0.61,-1.48,0.98
6.49,4.46,0.15,0.4,2024-11-30,6.890000000000001,-2.31,-2.05
-3.17,-2.71,-3.0,0.37,2024-12-31,-2.8,1.89,-1.21
